160CDL480B - Performance Data,,,,,,,,
,,INPUT PARAMETERS,,OUTPUT MEASUREMENTS,,,,
Config,Test Point,Airflow (SCFM),Pressure (PSIG),BHP,RPM,% Max Speed,% Max Pressure,
RC1,1,400,5,14.7,847,24,31,CycloBlower H.E. - 160CDL480 RC1 Low
,2,400,9,27.3,948,26,53,CycloBlower H.E. - 160CDL480 RC1 Low
,3,400,12,38.1,1019,28,69,CycloBlower H.E. - 160CDL480 RC1 Low
,4,400,15,49.9,1085,30,86,CycloBlower H.E. - 160CDL480 RC1 Low
,5,460,5,15.9,924,26,31,CycloBlower H.E. - 160CDL480 RC1 Low
,6,460,9,29.3,1024,28,53,CycloBlower H.E. - 160CDL480 RC1 Low
,7,460,12,40.7,1095,30,69,CycloBlower H.E. - 160CDL480 RC1 Low
,8,460,15,53,1161,32,86,CycloBlower H.E. - 160CDL480 RC1 Low
,9,520,5,17.2,1001,28,31,CycloBlower H.E. - 160CDL480 RC1 Low
,10,520,9,31.4,1101,31,53,CycloBlower H.E. - 160CDL480 RC1 Low
,11,520,12,43.3,1171,33,69,CycloBlower H.E. - 160CDL480 RC1 Low
,12,520,15,56.2,1237,34,86,CycloBlower H.E. - 160CDL480 RC1 Low
,13,580,5,18.6,1078,30,31,CycloBlower H.E. - 160CDL480 RC1 Low
,14,580,9,33.5,1178,33,53,CycloBlower H.E. - 160CDL480 RC1 Low
,15,580,12,46,1247,35,69,CycloBlower H.E. - 160CDL480 RC1 Low
,16,580,15,59.4,1312,36,86,CycloBlower H.E. - 160CDL480 RC1 Low
,17,640,5,19.9,1156,32,31,CycloBlower H.E. - 160CDL480 RC1 Low
,18,640,9,35.6,1254,35,53,CycloBlower H.E. - 160CDL480 RC1 Low
,19,640,12,48.7,1323,37,69,CycloBlower H.E. - 160CDL480 RC1 Low
,20,640,15,62.7,1387,39,86,CycloBlower H.E. - 160CDL480 RC1 Low
,21,700,5,21.3,1233,34,31,CycloBlower H.E. - 160CDL480 RC1 Low
,22,700,9,37.8,1330,37,53,CycloBlower H.E. - 160CDL480 RC1 Low
,23,700,12,51.4,1339,39,69,CycloBlower H.E. - 160CDL480 RC1 Low
,24,700,15,65.9,1463,41,86,CycloBlower H.E. - 160CDL480 RC1 Low
,25,760,5,22.7,1310,36,31,CycloBlower H.E. - 160CDL480 RC1 Low
,26,760,9,39.9,1407,39,53,CycloBlower H.E. - 160CDL480 RC1 Low
,27,760,12,54.1,1474,41,69,CycloBlower H.E. - 160CDL480 RC1 Low
,28,760,15,69.2,1538,43,86,CycloBlower H.E. - 160CDL480 RC1 Low
,29,820,5,24.1,1386,39,31,CycloBlower H.E. - 160CDL480 RC1 Low
,30,820,9,42.1,1483,41,53,CycloBlower H.E. - 160CDL480 RC1 Low
,31,820,12,56.9,1550,43,69,CycloBlower H.E. - 160CDL480 RC1 Low
,32,820,15,72.5,1613,45,86,CycloBlower H.E. - 160CDL480 RC1 Low
,33,880,5,25.6,1463,41,31,CycloBlower H.E. - 160CDL480 RC1 Low
,34,880,9,44.4,1559,43,53,CycloBlower H.E. - 160CDL480 RC1 Low
,35,880,12,59.6,1626,45,69,CycloBlower H.E. - 160CDL480 RC1 Low
,36,880,15,75.9,1688,47,86,CycloBlower H.E. - 160CDL480 RC1 Low
,37,940,5,27.1,1540,43,31,CycloBlower H.E. - 160CDL480 RC1 Low
,38,940,9,46.6,1635,45,53,CycloBlower H.E. - 160CDL480 RC1 Low
