HF 412 - HF 400 Performance Data,,,,,,,,,
Airflow Range: 280-1030 SCFM,,,Interval: 50 SCFM,,,Max CFM: 1034,,,
RPM Range: 1760-4500,,,Pressure Points: 5,,,High-capacity model,,,
,,,,,,,,,
,,INPUT PARAMETERS,,OUTPUT MEASUREMENTS,,,,,
Test Point,Airflow (SCFM),Pressure (PSIG),BHP,RPM,% Max Speed,% Max Pressure,Efficiency,Notes,
1,280,5,9.8,,34,37,61.82%,HeliFlow - 412,RPM-1526
2,280,7,13.7,1595,35,50,58.28%,HeliFlow - 412,
3,280,10,20.4,1695,38,70,52.08%,HeliFlow - 412,
4,280,12,25.4,1758,39,83,52.49%,HeliFlow - 412,
5,280,15,,,,,,HeliFlow - 412  Model Not Available,
6,330,5,11.4,1723,38,37,62.88%,HeliFlow - 412,
7,330,7,15.7,1793,40,50,59.78%,HeliFlow - 412,
8,330,10,23.1,1895,42,70,54.04%,HeliFlow - 412,
9,330,12,28.7,1960,44,83,50.34%,HeliFlow - 412,
10,330,15,,,,,,HeliFlow - 412  Model Not Available,
11,380,5,13,1921,43,37,63.48%,HeliFlow - 412,
12,380,7,17.8,1992,44,50,60.79%,HeliFlow - 412,
13,380,10,26,2096,47,70,55.48%,HeliFlow - 412,
14,380,12,32,2162,48,83,51.96%,HeliFlow - 412,
15,380,15,,,,,,HeliFlow - 412  Model Not Available,
16,430,5,14.6,2120,47,37,63.77%,HeliFlow - 412,
17,430,7,19.9,2193,49,50,61.45%,HeliFlow - 412,
18,430,10,28.8,2298,51,70,56.54%,HeliFlow - 412,
19,430,12,35.3,2365,53,83,55.19%,HeliFlow - 412,
20,430,15,,,,,,HeliFlow - 412  Model Not Available,
21,480,5,16.3,2320,52,37,61.59%,HeliFlow - 412,
22,480,7,22.1,2394,53,50,61.86%,HeliFlow - 412,
23,480,10,31.7,2501,56,70,57.31%,HeliFlow - 412,
24,480,12,38.8,2569,57,83,54.15%,HeliFlow - 412,
25,480,15,,,,,,HeliFlow - 412  Model Not Available,
26,530,5,18,2522,56,37,63.75%,HeliFlow - 412,
27,530,7,24.3,2597,58,50,62.07%,HeliFlow - 412,
28,530,10,34.7,2705,60,70,57.88%,HeliFlow - 412,
29,530,12,42.2,2775,62,83,54.88%,HeliFlow - 412,
30,530,15,,,,,,HeliFlow - 412  Model Not Available,
31,580,5,19.8,2724,61,37,63.53%,HeliFlow - 412,
32,580,7,26.6,2800,62,50,62.15%,HeliFlow - 412,
33,580,10,37.7,2910,65,70,58.28%,HeliFlow - 412,
34,580,12,45.7,2981,66,83,55.44%,HeliFlow - 412,
35,580,15,,,,,,HeliFlow - 412  Model Not Available,
36,630,5,21.6,2927,65,37,63.23%,HeliFlow - 412,
37,630,7,28.9,3005,67,50,62.12%,HeliFlow - 412,
38,630,10,40.8,3117,69,70,58.55%,HeliFlow - 412,
39,630,12,49.3,3189,71,83,55.85%,HeliFlow - 412,
40,630,15,,,,,,HeliFlow - 412  Model Not Available,
41,680,5,23.4,3132,70,37,62.85%,HeliFlow - 412,
42,680,7,31.2,3210,71,50,61.99%,HeliFlow - 412,
43,680,10,43.9,3324,74,70,58.71%,HeliFlow - 412,
44,680,12,52.9,3397,75,83,56.16%,HeliFlow - 412,
45,680,15,,,,,,HeliFlow - 412  Model Not Available,
46,730,5,25.3,3337,74,37,62.42%,HeliFlow - 412,
47,730,7,33.6,3417,76,50,61.80%,HeliFlow - 412,
48,730,10,47.1,3533,79,70,58.79%,HeliFlow - 412,
49,730,12,56.6,3607,80,83,56.36%,HeliFlow - 412,
50,730,15,,,,,,HeliFlow - 412  Model Not Available,
51,780,5,27.3,3544,79,37,61.95%,HeliFlow - 412,
52,780,7,36.1,3625,81,50,61.55%,HeliFlow - 412,
53,780,10,50.3,3742,83,70,58.79%,HeliFlow - 412,
54,780,12,60.4,3818,85,83,56.50%,HeliFlow - 412,
55,780,15,,,,,,HeliFlow - 412  Model Not Available,
56,830,5,29.3,3751,83,37,61.44%,HeliFlow - 412,
57,830,7,38.6,3833,85,50,61.26%,HeliFlow - 412,
58,830,10,53.5,3953,88,70,58.74%,HeliFlow - 412,
59,830,12,64.2,4030,90,83,56.56%,HeliFlow - 412,
60,830,15,,,,,,HeliFlow - 412  Model Not Available,
61,880,5,31.3,3960,88,37,60.91%,HeliFlow - 412,
62,880,7,41.1,4043,90,50,60.93%,HeliFlow - 412,
