HF 514 - HF 500 Performance Data,,,,,,,,,,,,
Airflow Range: 160-1550 SCFM,,,Interval: 100 SCFM,,,Max CFM: 1554,,,,,,
RPM Range: 1000-4000,,,Pressure Points: 5,,,Large capacity industrial model,,,,,,
,,,,,,,,,,,,
,,INPUT PARAMETERS,,OUTPUT MEASUREMENTS,,,,,,,,
Test Point,Airflow (SCFM),Pressure (PSIG),BHP,RPM,% Max Speed,% Max Pressure,Efficiency,Notes,,,,
1,160,5,,,,,,HeliFlow - 514  Model Not Available,,,,
2,160,7,,,,,,HeliFlow - 514  Model Not Available,,,,
3,160,10,18.6,960,24,70,32.60%,HeliFlow - 514  ,,,,
4,160,12,17.8,1280,28,83,30.05%,HeliFlow - 514  ,,,,
5,160,15,,,,,,HeliFlow - 514  Model Not Available,,,,
6,260,5,10.8,1045,26,37,52.05%,HeliFlow - 514  ,,,,
7,260,7,15.4,1105,28,50,48.11%,HeliFlow - 514  ,,,,
8,260,10,23,1185,30,70,42.78%,HeliFlow - 514  ,,,,
9,260,12,28.6,1233,31,83,39.79%,HeliFlow - 514  ,,,,
10,260,15,,,,,,HeliFlow - 514  Model Not Available,,,,
11,360,5,13.2,1273,32,37,59.18%,HeliFlow - 514  ,,,,
12,360,7,18.6,1333,33,50,55.04%,HeliFlow - 514  ,,,,
13,360,10,27.6,1412,35,70,49.48%,HeliFlow - 514  ,,,,
14,360,12,34,1459,36,83,46.34%,HeliFlow - 514  ,,,,
15,360,15,,,,,,HeliFlow - 514  Model Not Available,,,, 
16,460,5,15.6,1503,38,37,63.77%,HeliFlow - 514  ,,,,
17,460,7,22,1562,39,50,59.66%,HeliFlow - 514  ,,,,
18,460,10,32.2,1640,41,70,54.12%,HeliFlow - 514  ,,,,
19,460,12,39.5,1686,42,83,50.96%,HeliFlow - 514  ,,,,
20,460,15,,,,,,HeliFlow - 514  Model Not Available,,,,
21,560,5,18.2,1734,43,37,66.77%,HeliFlow - 514  ,,,,
