7LP/7LVP - Low Pressure Performance Data,,,,,,,
Airflow Range: 1200-2750 SCFM,,,Interval: 100 SCFM,,,RPM Range: 1170-2050,
,,,,,,,
,,INPUT PARAMETERS,,OUTPUT MEASUREMENTS,,,
Test Point,Airflow (SCFM),Pressure (PSIG),BHP,RPM,% Max Speed,% Max Pressure,Notes
1,1200,2,16.2,1141,56,83,Sutorbilt Legend - 7L
2,1200,3,23.1,1163,57,58,Sutorbilt Legend - 7L
3,1200,4,30.2,1182,58,75,Sutorbilt Legend - 7L
4,1200,5,37.5,1199,58,92,Sutorbilt Legend - 7L
5,1200,6,,,,,Sutorbilt Legend - 7L  model not available
6,1200,7,,,,,Sutorbilt Legend - 7L  model not available
7,1300,2,17.4,1226,60,42,Sutorbilt Legend - 7L
8,1300,3,24.8,1248,61,58,Sutorbilt Legend - 7L
9,1300,4,32.4,1267,62,75,Sutorbilt Legend - 7L
10,1300,5,40.2,1284,63,92,Sutorbilt Legend - 7L
11,1300,6,,,,,Sutorbilt Legend - 7L  model not available
12,1300,7,,,,,Sutorbilt Legend - 7L  model not available
13,1400,2,18.6,1311,64,42,Sutorbilt Legend - 7L
14,1400,3,26.5,1333,65,58,Sutorbilt Legend - 7L
15,1400,4,34.6,1352,66,75,Sutorbilt Legend - 7L
16,1400,5,42.8,1369,67,92,Sutorbilt Legend - 7L
17,1400,6,,,,,Sutorbilt Legend - 7L  model not available
18,1400,7,,,,,Sutorbilt Legend - 7L  model not available
19,1500,2,19.9,1396,68,42,Sutorbilt Legend - 7L
20,1500,3,28.2,1418,69,58,Sutorbilt Legend - 7L
21,1500,4,36.8,1437,70,75,Sutorbilt Legend - 7L
22,1500,5,45.5,1454,71,92,Sutorbilt Legend - 7L
23,1500,6,,,,,Sutorbilt Legend - 7L  model not available
24,1500,7,,,,,Sutorbilt Legend - 7L  model not available
25,1600,2,21.1,1481,72,42,Sutorbilt Legend - 7L
26,1600,3,29.9,1503,73,58,Sutorbilt Legend - 7L
27,1600,4,39,1522,74,75,Sutorbilt Legend - 7L
28,1600,5,48.1,1539,75,92,Sutorbilt Legend - 7L
29,1600,6,,,,,Sutorbilt Legend - 7L  model not available
30,1600,7,,,,,Sutorbilt Legend - 7L  model not available
31,1700,2,22.3,1566,76,42,Sutorbilt Legend - 7L
32,1700,3,31.6,1588,77,58,Sutorbilt Legend - 7L
33,1700,4,41.1,1607,78,75,Sutorbilt Legend - 7L
34,1700,5,50.8,1624,79,92,Sutorbilt Legend - 7L
35,1700,6,,,,,Sutorbilt Legend - 7L  model not available
36,1700,7,,,,,Sutorbilt Legend - 7L  model not available
37,1800,2,23.5,1651,81,42,Sutorbilt Legend - 7L
38,1800,3,33.3,1673,82,58,Sutorbilt Legend - 7L
39,1800,4,43.3,1692,83,75,Sutorbilt Legend - 7L
40,1800,5,53.5,1709,83,92,Sutorbilt Legend - 7L
41,1800,6,,,,,Sutorbilt Legend - 7L  model not available
42,1800,7,,,,,Sutorbilt Legend - 7L  model not available
43,1900,2,24.7,1736,85,42,Sutorbilt Legend - 7L
44,1900,3,35,1758,86,58,Sutorbilt Legend - 7L
45,1900,4,45.5,1777,87,75,Sutorbilt Legend - 7L
46,1900,5,56.1,1794,88,92,Sutorbilt Legend - 7L
47,1900,6,,,,,Sutorbilt Legend - 7L  model not available
48,1900,7,,,,,Sutorbilt Legend - 7L  model not available
49,2000,2,25.9,1821,89,42,Sutorbilt Legend - 7L
50,2000,3,36.7,1843,90,58,Sutorbilt Legend - 7L
51,2000,4,47.7,1862,91,75,Sutorbilt Legend - 7L
52,2000,5,58.8,1879,92,92,Sutorbilt Legend - 7L
53,2000,6,,,,,Sutorbilt Legend - 7L  model not available
54,2000,7,,,,,Sutorbilt Legend - 7L  model not available
55,2100,2,27.1,1907,93,42,Sutorbilt Legend - 7L
56,2100,3,38.4,1928,94,58,Sutorbilt Legend - 7L
57,2100,4,49.8,1947,95,75,Sutorbilt Legend - 7L
58,2100,5,61.5,1964,96,92,Sutorbilt Legend - 7L
59,2100,6,,,,,Sutorbilt Legend - 7L  model not available
60,2100,7,,,,,Sutorbilt Legend - 7L  model not available
61,2200,2,28.3,1992,97,42,Sutorbilt Legend - 7L
62,2200,3,40.1,2014,98,58,Sutorbilt Legend - 7L
63,2200,4,52,2033,99,75,Sutorbilt Legend - 7L
64,2200,5,64.1,2050,100,92,Sutorbilt Legend - 7L
65,2200,6,,,,,Sutorbilt Legend - 7L  model not available
66,2200,7,,,,,Sutorbilt Legend - 7L  model not available
67,2300,2,,,,,Sutorbilt Legend - 7L  model not available
68,2300,3,,,,,Sutorbilt Legend - 7L  model not available
69,2300,4,,,,,Sutorbilt Legend - 7L  model not available
70,2300,5,,,,,Sutorbilt Legend - 7L  model not available
71,2300,6,,,,,Sutorbilt Legend - 7L  model not available
72,2300,7,,,,,Sutorbilt Legend - 7L  model not available
73,2400,2,,,,,Sutorbilt Legend - 7L  model not available
74,2400,3,,,,,Sutorbilt Legend - 7L  model not available
75,2400,4,,,,,Sutorbilt Legend - 7L  model not available
76,2400,5,,,,,Sutorbilt Legend - 7L  model not available
77,2400,6,,,,,Sutorbilt Legend - 7L  model not available
78,2400,7,,,,,Sutorbilt Legend - 7L  model not available
79,2500,2,,,,,Sutorbilt Legend - 7L  model not available
80,2500,3,,,,,Sutorbilt Legend - 7L  model not available
81,2500,4,,,,,Sutorbilt Legend - 7L  model not available
82,2500,5,,,,,Sutorbilt Legend - 7L  model not available
83,2500,6,,,,,Sutorbilt Legend - 7L  model not available
84,2500,7,,,,,Sutorbilt Legend - 7L  model not available
85,2600,2,,,,,Sutorbilt Legend - 7L  model not available
86,2600,3,,,,,Sutorbilt Legend - 7L  model not available
87,2600,4,,,,,Sutorbilt Legend - 7L  model not available
88,2600,5,,,,,Sutorbilt Legend - 7L  model not available
89,2600,6,,,,,Sutorbilt Legend - 7L  model not available
90,2600,7,,,,,Sutorbilt Legend - 7L  model not available
91,2700,2,,,,,Sutorbilt Legend - 7L  model not available
92,2700,3,,,,,Sutorbilt Legend - 7L  model not available
93,2700,4,,,,,Sutorbilt Legend - 7L  model not available
94,2700,5,,,,,Sutorbilt Legend - 7L  model not available
95,2700,6,,,,,Sutorbilt Legend - 7L  model not available
96,2700,7,,,,,Sutorbilt Legend - 7L  model not available
